order_id,payment_type,installments,payment_value
1,cash_on_delivery,1,1250.83
2,credit_card,2,222.15
3,cash_on_delivery,1,1334.42
4,wallet,1,19.73
5,credit_card,2,798.73
6,credit_card,1,221.9
7,cash_on_delivery,1,173.61
8,credit_card,3,95.79
9,wallet,1,307.03
10,credit_card,2,170.03
11,credit_card,3,54.93
12,credit_card,6,46.63
13,cash_on_delivery,1,1298.05
14,cash_on_delivery,1,6.92
15,cash_on_delivery,1,43.28
16,bank_transfer,1,1044.47
17,cash_on_delivery,1,290.72
18,cash_on_delivery,1,128.19
19,credit_card,3,375.77
20,cash_on_delivery,1,1119.6
21,cash_on_delivery,1,512.56
22,credit_card,2,82.75
23,bank_transfer,1,86.04
24,cash_on_delivery,1,312.75
25,credit_card,3,74.05
26,credit_card,1,157.19
27,cash_on_delivery,1,11.15
28,wallet,1,49.63
29,credit_card,1,451.07
30,cash_on_delivery,1,83.34
31,credit_card,6,460.7
32,cash_on_delivery,1,16.75
33,credit_card,1,178.65
34,credit_card,2,29.21
35,cash_on_delivery,1,53.86
36,wallet,1,31.81
37,cash_on_delivery,1,45.67
38,credit_card,6,265.21
39,bank_transfer,1,125.89
40,wallet,1,97.75
41,bank_transfer,1,41.25
42,credit_card,6,20.57
43,cash_on_delivery,1,15.46
44,cash_on_delivery,1,313.07
45,credit_card,1,71.46
46,cash_on_delivery,1,421.27
47,cash_on_delivery,1,41.8
48,bank_transfer,1,264.12
49,cash_on_delivery,1,118.9
50,credit_card,1,31.8
51,cash_on_delivery,1,193.1
52,wallet,1,433.27
53,cash_on_delivery,1,111.11
54,credit_card,2,348.1
55,cash_on_delivery,1,809.51
56,credit_card,2,249.25
57,credit_card,1,37.88
58,wallet,1,949.97
59,credit_card,1,587.39
60,bank_transfer,1,516.07
61,credit_card,1,93.97
62,credit_card,6,481.33
63,credit_card,1,448.19
64,cash_on_delivery,1,20.89
65,wallet,1,2571.18
66,bank_transfer,1,93.24
67,wallet,1,303.08
68,cash_on_delivery,1,283.15
69,credit_card,2,30.27
70,bank_transfer,1,314.36
71,credit_card,6,118.23
72,cash_on_delivery,1,127.4
73,credit_card,3,143.34
74,bank_transfer,1,58.86
75,credit_card,1,179.38
76,cash_on_delivery,1,657.85
77,credit_card,1,205.76
78,wallet,1,1576.2
79,cash_on_delivery,1,1286.69
80,credit_card,3,79.2
81,bank_transfer,1,333.6
82,credit_card,2,15.32
83,credit_card,1,162.04
84,credit_card,1,339.05
85,bank_transfer,1,94.69
86,cash_on_delivery,1,139.75
87,credit_card,2,1136.27
88,credit_card,2,11.35
89,credit_card,2,86.62
90,credit_card,1,118.86
91,credit_card,1,573.72
92,wallet,1,965.26
93,cash_on_delivery,1,106.57
94,credit_card,1,74.35
95,credit_card,1,29.52
96,cash_on_delivery,1,395.75
97,wallet,1,118.28
98,cash_on_delivery,1,50.95
99,cash_on_delivery,1,136.77
100,credit_card,2,284.93
101,wallet,1,106.38
102,credit_card,1,644.45
103,wallet,1,899.69
104,cash_on_delivery,1,224.93
105,credit_card,3,345.72
106,credit_card,12,153.53
107,bank_transfer,1,6.28
108,credit_card,1,45.19
109,credit_card,2,340.51
110,cash_on_delivery,1,229.61
111,cash_on_delivery,1,11.24
112,credit_card,12,20.58
113,cash_on_delivery,1,794.25
114,cash_on_delivery,1,334.82
115,credit_card,2,79.59
116,cash_on_delivery,1,967.4
117,credit_card,6,356.86
118,credit_card,12,968.44
119,cash_on_delivery,1,236.41
120,cash_on_delivery,1,267.7
121,cash_on_delivery,1,1347.68
122,cash_on_delivery,1,273.49
123,credit_card,1,136.35
124,credit_card,3,49.74
125,bank_transfer,1,104.31
126,credit_card,3,139.47
127,cash_on_delivery,1,576.34
128,credit_card,2,408.66
129,cash_on_delivery,1,521.85
130,cash_on_delivery,1,199.29
131,cash_on_delivery,1,12.65
132,cash_on_delivery,1,598.85
133,cash_on_delivery,1,666.98
134,cash_on_delivery,1,1500.67
135,bank_transfer,1,18.74
136,cash_on_delivery,1,73.78
137,credit_card,2,65.93
138,credit_card,1,118.93
139,credit_card,2,384.69
140,cash_on_delivery,1,298.11
141,credit_card,2,61.12
142,cash_on_delivery,1,916.06
143,cash_on_delivery,1,27.48
144,cash_on_delivery,1,136.32
145,cash_on_delivery,1,1430.77
146,cash_on_delivery,1,32.19
147,credit_card,3,76.62
148,credit_card,2,499.15
149,bank_transfer,1,35.18
150,cash_on_delivery,1,659.95
151,wallet,1,268.41
152,cash_on_delivery,1,379.61
153,cash_on_delivery,1,289.98
154,credit_card,12,33.91
155,cash_on_delivery,1,72.0
156,wallet,1,295.1
157,credit_card,2,9.97
158,credit_card,1,985.96
159,credit_card,2,30.24
160,wallet,1,126.01
161,cash_on_delivery,1,18.34
162,credit_card,12,538.14
163,wallet,1,94.05
164,credit_card,3,20.13
165,credit_card,2,123.46
166,credit_card,1,437.57
167,cash_on_delivery,1,106.32
168,bank_transfer,1,109.8
169,wallet,1,1580.21
170,cash_on_delivery,1,37.04
171,wallet,1,607.71
172,wallet,1,74.46
173,credit_card,3,8.5
174,credit_card,3,41.99
175,cash_on_delivery,1,156.25
176,credit_card,1,261.04
177,cash_on_delivery,1,140.94
178,cash_on_delivery,1,1713.88
179,cash_on_delivery,1,57.08
180,cash_on_delivery,1,40.76
181,wallet,1,12.0
182,credit_card,6,777.19
183,credit_card,1,260.81
184,bank_transfer,1,29.19
185,wallet,1,116.54
186,credit_card,1,1811.86
187,credit_card,3,395.12
188,cash_on_delivery,1,842.07
189,credit_card,12,531.02
190,cash_on_delivery,1,53.16
191,credit_card,1,123.65
192,cash_on_delivery,1,16.11
193,credit_card,12,227.68
194,cash_on_delivery,1,275.95
195,wallet,1,153.86
196,credit_card,2,301.58
197,credit_card,12,456.03
198,bank_transfer,1,53.83
199,cash_on_delivery,1,263.79
200,cash_on_delivery,1,115.06
201,cash_on_delivery,1,186.25
202,wallet,1,86.77
203,credit_card,1,922.18
204,credit_card,1,680.74
205,bank_transfer,1,1534.63
206,wallet,1,19.41
207,credit_card,1,411.15
208,credit_card,1,91.47
209,cash_on_delivery,1,558.84
210,cash_on_delivery,1,504.84
211,cash_on_delivery,1,795.76
212,cash_on_delivery,1,655.81
213,credit_card,3,423.74
214,credit_card,1,581.96
215,credit_card,3,220.1
216,credit_card,1,31.92
217,cash_on_delivery,1,93.16
218,credit_card,2,1118.97
219,credit_card,3,265.44
220,credit_card,2,121.23
221,cash_on_delivery,1,299.28
222,cash_on_delivery,1,78.52
223,cash_on_delivery,1,179.19
224,cash_on_delivery,1,463.24
225,wallet,1,2729.14
226,cash_on_delivery,1,345.83
227,cash_on_delivery,1,259.39
228,cash_on_delivery,1,1223.76
229,cash_on_delivery,1,55.32
230,bank_transfer,1,33.99
231,credit_card,3,105.22
232,wallet,1,897.54
233,wallet,1,31.36
234,bank_transfer,1,388.36
235,credit_card,3,229.57
236,wallet,1,509.39
237,cash_on_delivery,1,126.86
238,cash_on_delivery,1,205.66
239,credit_card,1,760.31
240,wallet,1,1456.48
241,cash_on_delivery,1,609.21
242,cash_on_delivery,1,569.95
243,bank_transfer,1,1030.48
244,cash_on_delivery,1,40.16
245,wallet,1,303.98
246,wallet,1,660.98
247,credit_card,6,221.23
248,cash_on_delivery,1,1310.67
249,cash_on_delivery,1,615.34
250,credit_card,2,735.01
251,cash_on_delivery,1,150.67
252,cash_on_delivery,1,1209.86
253,credit_card,2,261.22
254,wallet,1,194.92
255,bank_transfer,1,158.16
256,credit_card,6,251.37
257,cash_on_delivery,1,1688.77
258,credit_card,12,376.01
259,cash_on_delivery,1,569.67
260,cash_on_delivery,1,35.15
261,wallet,1,1140.83
262,cash_on_delivery,1,44.2
263,cash_on_delivery,1,223.01
264,credit_card,1,2265.61
265,cash_on_delivery,1,178.22
266,cash_on_delivery,1,104.55
267,cash_on_delivery,1,845.82
268,cash_on_delivery,1,56.03
269,cash_on_delivery,1,33.78
270,credit_card,2,134.22
271,cash_on_delivery,1,101.79
272,wallet,1,8.94
273,cash_on_delivery,1,606.73
274,wallet,1,75.61
275,cash_on_delivery,1,129.34
276,credit_card,1,90.25
277,credit_card,12,693.88
278,credit_card,2,650.13
279,bank_transfer,1,260.8
280,wallet,1,78.07
281,credit_card,1,202.19
282,cash_on_delivery,1,73.89
283,cash_on_delivery,1,60.73
284,credit_card,3,993.44
285,wallet,1,1099.97
286,cash_on_delivery,1,70.41
287,cash_on_delivery,1,165.33
288,cash_on_delivery,1,1554.41
289,credit_card,1,32.59
290,wallet,1,209.02
291,credit_card,3,290.88
292,credit_card,6,200.23
293,credit_card,1,399.6
294,credit_card,12,1252.72
295,credit_card,3,727.28
296,credit_card,1,158.53
297,cash_on_delivery,1,225.77
298,credit_card,1,99.49
299,credit_card,3,1124.95
300,cash_on_delivery,1,87.65
301,bank_transfer,1,258.34
302,credit_card,1,2635.5
303,cash_on_delivery,1,47.36
304,credit_card,6,196.36
305,credit_card,3,348.75
306,cash_on_delivery,1,1516.49
307,wallet,1,91.63
308,cash_on_delivery,1,155.63
309,credit_card,1,644.59
310,credit_card,2,65.54
311,credit_card,6,111.98
312,credit_card,1,87.47
313,wallet,1,140.23
314,wallet,1,484.59
315,credit_card,1,59.19
316,bank_transfer,1,225.93
317,credit_card,2,421.21
318,credit_card,1,183.16
319,cash_on_delivery,1,185.9
320,cash_on_delivery,1,720.1
321,cash_on_delivery,1,1027.26
322,cash_on_delivery,1,487.01
323,credit_card,1,46.64
324,bank_transfer,1,154.16
325,credit_card,6,269.89
326,credit_card,1,126.89
327,cash_on_delivery,1,349.08
328,credit_card,3,702.12
329,credit_card,1,49.74
330,credit_card,12,198.17
331,wallet,1,407.26
332,credit_card,3,226.41
333,credit_card,1,118.62
334,bank_transfer,1,264.54
335,wallet,1,33.11
336,bank_transfer,1,125.63
337,credit_card,1,27.93
338,credit_card,2,57.96
339,cash_on_delivery,1,824.58
340,wallet,1,327.92
341,credit_card,1,276.35
342,bank_transfer,1,21.07
343,credit_card,12,360.39
344,credit_card,3,641.63
345,wallet,1,17.82
346,cash_on_delivery,1,119.58
347,credit_card,1,145.92
348,credit_card,2,700.41
349,wallet,1,568.11
350,cash_on_delivery,1,33.51
351,cash_on_delivery,1,548.86
352,credit_card,2,1509.04
353,cash_on_delivery,1,406.16
354,cash_on_delivery,1,103.23
355,cash_on_delivery,1,2145.72
356,wallet,1,528.65
357,cash_on_delivery,1,214.54
358,wallet,1,28.81
359,credit_card,3,136.25
360,cash_on_delivery,1,192.73
361,credit_card,3,147.64
362,cash_on_delivery,1,171.71
363,cash_on_delivery,1,182.0
364,credit_card,1,116.95
365,cash_on_delivery,1,98.78
366,credit_card,6,175.28
367,credit_card,1,96.56
368,cash_on_delivery,1,804.66
